Date,AAPL,GSPC,MSFT
2021-06-28,131.49810791015625,258.4482727050781,4290.60986328125
2021-06-29,133.01039123535156,261.0257568359375,4291.7998046875
2021-06-30,133.62503051757812,260.544921875,4297.5
2021-07-01,133.92747497558594,261.21820068359375,4319.93994140625
2021-07-02,136.55198669433594,267.03692626953125,4352.33984375
2021-07-06,138.56182861328125,267.0464782714844,4343.5400390625
2021-07-07,141.04969787597656,269.229736328125,4358.1298828125
2021-07-08,139.7520751953125,266.81573486328125,4320.81982421875
2021-07-09,141.57656860351562,267.3157653808594,4369.5498046875
2021-07-12,140.98141479492188,266.71954345703125,4384.6298828125
2021-07-13,142.09365844726562,270.2395324707031,4369.2099609375
2021-07-14,145.51817321777344,271.7111511230469,4374.2998046875
2021-07-15,144.864501953125,270.2876892089844,4360.02978515625
2021-07-16,142.82540893554688,270.0184020996094,4327.16015625
2021-07-19,138.9813690185547,266.42138671875,4258.490234375
2021-07-20,142.59124755859375,268.64306640625,4323.06005859375
2021-07-21,141.8594970703125,270.6435852050781,4358.68994140625
2021-07-22,143.22544860839844,275.202392578125,4367.47998046875
2021-07-23,144.94253540039062,278.597412109375,4411.7900390625
2021-07-26,145.36209106445312,278.0010986328125,4422.2998046875
2021-07-27,143.19613647460938,275.5870666503906,4401.4599609375
2021-07-28,141.44973754882812,275.2793273925781,4400.64013671875
2021-07-29,142.09365844726562,275.5486145019531,4419.14990234375
2021-07-30,142.30828857421875,274.0194091796875,4395.259765625
2021-08-02,141.97662353515625,273.93280029296875,4387.16015625
2021-08-03,143.77174377441406,276.14495849609375,4423.14990234375
2021-08-04,143.37176513671875,275.5582580566406,4402.66015625
2021-08-05,143.47906494140625,278.4532165527344,4429.10009765625
2021-08-06,142.79507446289062,278.3954772949219,4436.52001953125
2021-08-09,142.7462921142578,277.3086242675781,4432.35009765625
2021-08-10,142.26747131347656,275.49090576171875,4436.75
2021-08-11,142.5215301513672,275.9813537597656,4442.41015625
2021-08-12,145.48220825195312,278.73211669921875,4460.830078125
2021-08-13,145.6873779296875,281.65594482421875,4468.0
2021-08-16,147.66116333007812,283.3390197753906,4479.7099609375
2021-08-17,146.75244140625,281.8770751953125,4448.080078125
2021-08-18,143.0100860595703,280.15216064453125,4400.27001953125
2021-08-19,143.34226989746094,285.9725036621094,4405.7998046875
2021-08-20,144.7981719970703,293.2862854003906,4441.669921875
2021-08-23,146.28341674804688,293.56573486328125,4479.52978515625
2021-08-24,146.19544982910156,291.609619140625,4486.22998046875
2021-08-25,144.96424865722656,291.0217590332031,4496.18994140625
2021-08-26,144.1630401611328,288.2080383300781,4470.0
2021-08-27,145.1988067626953,288.815185546875,4509.3701171875
2021-08-30,149.6153564453125,292.5443115234375,4528.7900390625
2021-08-31,148.3548583984375,290.8966064453125,4522.68017578125
2021-09-01,149.0193328857422,290.8484191894531,4524.08984375
2021-09-02,150.1332244873047,290.19305419921875,4536.9501953125
2021-09-03,150.76834106445312,290.18353271484375,4535.43017578125
2021-09-07,153.10365295410156,289.2583923339844,4520.02978515625
2021-09-08,151.559814453125,289.2872619628906,4514.06982421875
2021-09-09,150.54360961914062,286.43505859375,4493.27978515625
2021-09-10,145.5603485107422,284.9510192871094,4458.580078125
2021-09-13,146.12705993652344,286.1844482421875,4468.72998046875
2021-09-14,144.72979736328125,288.88262939453125,4443.0498046875
2021-09-15,145.6189727783203,293.7295837402344,4480.7001953125
2021-09-16,145.38446044921875,294.11505126953125,4473.75
2021-09-17,142.7169189453125,288.959716796875,4432.990234375
2021-09-20,139.6683807373047,283.59234619140625,4357.72998046875
2021-09-21,140.14710998535156,284.0740661621094,4354.18994140625
2021-09-22,142.51173400878906,287.71661376953125,4395.64013671875
2021-09-23,143.46932983398438,288.6609802246094,4448.97998046875
2021-09-24,143.55726623535156,288.4585876464844,4455.47998046875
2021-09-27,142.04273986816406,283.4670715332031,4443.10986328125
2021-09-28,138.66192626953125,273.2044982910156,4352.6298828125
2021-09-29,139.5608673095703,273.6671142578125,4359.4599609375
2021-09-30,138.26132202148438,271.66278076171875,4307.5400390625
2021-10-01,139.38497924804688,278.58148193359375,4357.0400390625
2021-10-04,135.955322265625,272.8094177246094,4300.4599609375
2021-10-05,137.8802490234375,278.25396728515625,4345.72021484375
2021-10-06,138.74984741210938,282.4455871582031,4363.5498046875
2021-10-07,140.01036071777344,284.1223449707031,4399.759765625
2021-10-08,139.62925720214844,284.1223449707031,4391.33984375
2021-10-11,139.5413360595703,283.52496337890625,4361.18994140625
2021-10-12,138.2710723876953,282.2240295410156,4350.64990234375
2021-10-13,137.684814453125,285.5291748046875,4363.7998046875
